time,open,high,low,close,Upper,Basis,Lower,MA,Volume,Volume MA,RSI,Histogram,MACD,Signal
2017-11-08T07:00:00Z,3.459,3.724,3.448,3.724,NaN,NaN,NaN,NaN,1266,NaN,NaN,NaN,NaN,NaN
2017-11-09T07:00:00Z,3.633,3.853,3.633,3.853,NaN,NaN,NaN,NaN,300,NaN,NaN,NaN,NaN,NaN
2017-11-10T07:00:00Z,3.763,4.168,3.763,4.168,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
2017-11-13T07:00:00Z,4.4,4.4,4.072,4.1,NaN,NaN,NaN,NaN,2600,NaN,NaN,NaN,NaN,NaN
2017-11-14T07:00:00Z,4.243,4.259,4.1,4.1,NaN,NaN,NaN,NaN,2850,NaN,86.71874999999991,NaN,NaN,NaN
2017-11-15T07:00:00Z,4.038,4.038,3.9,3.9,NaN,NaN,NaN,NaN,5770,NaN,57.020547945205465,NaN,NaN,NaN
2017-11-16T07:00:00Z,3.974,4.254,3.974,4.254,NaN,NaN,NaN,NaN,1020,NaN,76.23106060606058,NaN,NaN,NaN
2017-11-17T07:00:00Z,4.12,4.12,4.09,4.116,NaN,NaN,NaN,NaN,0,NaN,61.859631147540966,NaN,NaN,NaN
2017-11-20T07:00:00Z,4.139,4.25,4.117,4.117,NaN,NaN,NaN,NaN,1500,NaN,61.92897727272728,NaN,NaN,NaN
2017-11-21T07:00:00Z,4.15,4.295,4.15,4.15,NaN,NaN,NaN,NaN,150,NaN,64.74905303030306,NaN,NaN,NaN
2017-11-22T07:00:00Z,4.15,4.25,4.15,4.25,NaN,NaN,NaN,NaN,10,NaN,72.86905233227756,NaN,NaN,NaN
2017-11-23T07:00:00Z,4.15,4.15,4.15,4.15,NaN,NaN,NaN,NaN,500,NaN,55.74731303693374,NaN,NaN,NaN
2017-11-24T07:00:00Z,3.999,4.008,3.983,3.983,NaN,NaN,NaN,NaN,500,NaN,36.59903859286874,NaN,NaN,NaN
2017-11-27T07:00:00Z,4.2,4.299,4.2,4.299,NaN,NaN,NaN,NaN,500,NaN,66.03385426381172,NaN,NaN,NaN
2017-11-28T07:00:00Z,4.29,4.3,4.2,4.2,NaN,NaN,NaN,NaN,1270,NaN,55.307826488613834,NaN,NaN,NaN
2017-11-29T07:00:00Z,4.22,4.259,4.2,4.259,NaN,NaN,NaN,NaN,2442,NaN,60.416852863219354,NaN,NaN,NaN
2017-11-30T07:00:00Z,4.1,4.259,4.1,4.1,NaN,NaN,NaN,NaN,400,NaN,42.82568031526943,NaN,NaN,NaN
2017-12-01T07:00:00Z,4.037,4.162,4.037,4.162,NaN,NaN,NaN,NaN,100,NaN,50.34281133350498,NaN,NaN,NaN
2017-12-04T07:00:00Z,4.343,4.343,4.162,4.241,NaN,NaN,NaN,NaN,1920,NaN,59.40951621945142,NaN,NaN,NaN
2017-12-05T07:00:00Z,4.014,4.014,3.994,3.994,NaN,NaN,NaN,NaN,800,1194.9,33.733173958221386,NaN,NaN,NaN
2017-12-06T07:00:00Z,4.05,4.05,4.05,4.05,4.5349047619047615,4.103333333333333,3.671761904761904,NaN,0,1131.6,41.39046612440441,NaN,NaN,NaN
2017-12-07T07:00:00Z,4.1,4.1,3.6,3.6,4.52216759431045,4.057575757575757,3.5929839208410628,NaN,4745,1353.85,18.49389006017725,NaN,NaN,NaN
2017-12-08T07:00:00Z,4.014,4.025,3.791,3.858,4.527436637110569,4.039432506887051,3.5514283766635333,NaN,3050,1506.35,42.717470747562004,NaN,NaN,NaN
2017-12-11T07:00:00Z,3.994,4.026,3.836,3.924,4.514061623789847,4.028938642624592,3.5438156614593366,NaN,2955,1524.1,47.98976848082381,NaN,NaN,NaN
2017-12-12T07:00:00Z,3.876,4.051,3.876,3.881,4.496261561937318,4.015489675113265,3.5347177882892127,NaN,1400,1451.6,44.43685741636372,NaN,NaN,NaN
2017-12-13T07:00:00Z,3.898,3.898,3.825,3.825,4.463871847944057,3.9981724319211502,3.532473015898243,NaN,0,1163.1,39.37495198765695,NaN,-0.09408598174665261,NaN
2017-12-14T07:00:00Z,3.83,3.83,3.83,3.83,4.426942996660092,3.9828840290192273,3.5388250613783634,NaN,0,1112.1,40.18608786553738,NaN,-0.09703221028354703,NaN
2017-12-15T07:00:00Z,3.838,3.838,3.838,3.838,4.393483199026095,3.9697127536538432,3.545942308281592,NaN,0,1112.1,41.8459804072058,NaN,-0.0975965521824409,NaN
2017-12-18T07:00:00Z,3.797,3.797,3.606,3.606,4.365096001078799,3.9366479578671303,3.5081999146554623,NaN,500,1062.1,20.185838588308712,NaN,-0.11543361148006515,NaN
2017-12-19T07:00:00Z,3.583,3.745,3.583,3.745,4.344628314539673,3.919225416242846,3.493822517946019,NaN,100,1059.6,43.534282869174554,NaN,-0.11700471364794662,NaN
