time,open,high,low,close,Upper,Basis,Lower,MA,Volume,Volume MA,RSI,Histogram,MACD,Signal
2012-04-20T13:30:00Z,6.89,6.89,6.89,6.89,NaN,NaN,NaN,NaN,24,NaN,NaN,NaN,NaN,NaN
2012-04-23T13:30:00Z,6.37,6.37,5.915,5.915,NaN,NaN,NaN,NaN,169,NaN,NaN,NaN,NaN,NaN
2012-04-26T13:30:00Z,5.59,6.175,5.59,6.175,NaN,NaN,NaN,NaN,463,NaN,NaN,NaN,NaN,NaN
2012-05-01T13:30:00Z,6.5845,6.5845,6.5845,6.5845,NaN,NaN,NaN,NaN,153,NaN,NaN,NaN,NaN,NaN
2012-05-02T13:30:00Z,6.0125,6.0125,6.0125,6.0125,NaN,NaN,NaN,NaN,136,NaN,30.20527859237538,NaN,NaN,NaN
2012-05-07T13:30:00Z,5.265,5.265,5.265,5.265,NaN,NaN,NaN,NaN,7,NaN,20.836142953472702,NaN,NaN,NaN
2012-05-10T13:30:00Z,5.915,5.915,5.915,5.915,NaN,NaN,NaN,NaN,307,NaN,41.77550008265829,NaN,NaN,NaN
2012-05-14T13:30:00Z,5.2,5.2,5.2,5.2,NaN,NaN,NaN,NaN,38,NaN,30.098860523285836,NaN,NaN,NaN
2012-05-17T13:30:00Z,5.46,5.46,5.46,5.46,NaN,NaN,NaN,NaN,153,NaN,38.441276908194546,NaN,NaN,NaN
2012-05-21T13:30:00Z,5.2,6.0125,5.2,6.0125,NaN,NaN,NaN,NaN,200,NaN,53.9970328907831,NaN,NaN,NaN
2012-05-22T13:30:00Z,6.019,6.11,5.85,5.85,NaN,NaN,NaN,NaN,1947,NaN,49.128533303279205,NaN,NaN,NaN
2012-05-23T13:30:00Z,4.9075,4.9075,4.9075,4.9075,NaN,NaN,NaN,NaN,46,NaN,28.945867162429977,NaN,NaN,NaN
2012-05-25T13:30:00Z,6.045,6.045,6.045,6.045,NaN,NaN,NaN,NaN,107,NaN,57.224116081807665,NaN,NaN,NaN
2012-05-29T13:30:00Z,6.37,6.37,6.37,6.37,NaN,NaN,NaN,NaN,206,NaN,62.855649104284,NaN,NaN,NaN
2012-05-30T13:30:00Z,5.85,5.85,5.85,5.85,NaN,NaN,NaN,NaN,161,NaN,49.07309239206066,NaN,NaN,NaN
2012-06-01T13:30:00Z,5.85,5.85,5.85,5.85,NaN,NaN,NaN,NaN,76,NaN,49.07309239206066,NaN,NaN,NaN
2012-06-04T13:30:00Z,6.305,6.305,5.72,5.72,NaN,NaN,NaN,NaN,712,NaN,44.71536796142776,NaN,NaN,NaN
2012-06-06T13:30:00Z,6.4415,6.63,6.37,6.37,NaN,NaN,NaN,NaN,1087,NaN,65.27357257636665,NaN,NaN,NaN
