time,open,high,low,close,Upper,Basis,Lower,MA,Volume,Volume MA,RSI,Histogram,MACD,Signal
2006-01-26T14:30:00Z,45,48.28,39.50999,44,NaN,NaN,NaN,NaN,13219398,NaN,NaN,NaN,NaN,NaN
2006-01-27T14:30:00Z,44.88,44.89999,41.75,42.2,NaN,NaN,NaN,NaN,1150800,NaN,NaN,NaN,NaN,NaN
2006-01-30T14:30:00Z,42.2,45.50999,41.25,44.8,NaN,NaN,NaN,NaN,736200,NaN,NaN,NaN,NaN,NaN
2006-01-31T14:30:00Z,45.5,49.3,45.38,47.52,NaN,NaN,NaN,NaN,1111200,NaN,NaN,NaN,NaN,NaN
2006-02-01T14:30:00Z,48.89999,49.24001,45.25,46.56,NaN,NaN,NaN,NaN,606700,NaN,65.84158415841586,NaN,NaN,NaN
2006-02-02T14:30:00Z,47.89999,47.91,44.25999,44.75,NaN,NaN,NaN,NaN,403800,NaN,50.69885641677255,NaN,NaN,NaN
2006-02-03T14:30:00Z,44.85001,46.56,44.25,46.55,NaN,NaN,NaN,NaN,245300,NaN,62.22005842259005,NaN,NaN,NaN
2006-02-06T14:30:00Z,47.48,48,46,47.71001,NaN,NaN,NaN,NaN,350000,NaN,68.53775145472353,NaN,NaN,NaN
2006-02-07T14:30:00Z,47.71001,47.75,45.25,46.28,NaN,NaN,NaN,NaN,267200,NaN,53.76095499948269,NaN,NaN,NaN
2006-02-08T14:30:00Z,45.85001,46.60001,45.03999,45.74001,NaN,NaN,NaN,NaN,174400,NaN,48.49657876103234,NaN,NaN,NaN
2006-02-09T14:30:00Z,45.78,46,43.08,44.05,NaN,NaN,NaN,NaN,220300,NaN,34.42837238029013,NaN,NaN,NaN
2006-02-10T14:30:00Z,43.25,43.25999,41.5,42.31,NaN,NaN,NaN,NaN,375500,NaN,24.622948120744653,NaN,NaN,NaN
2006-02-13T14:30:00Z,41.75,42.55,41,41.48,NaN,NaN,NaN,NaN,199100,NaN,20.846742160768486,NaN,NaN,NaN
2006-02-14T14:30:00Z,41.45,43.25999,41.19,43,NaN,NaN,NaN,NaN,197900,NaN,42.411898714578875,NaN,NaN,NaN
2006-02-15T14:30:00Z,43.10001,43.299,42.22,42.7,NaN,NaN,NaN,NaN,98100,NaN,39.57452869493856,NaN,NaN,NaN
2006-02-16T14:30:00Z,43.75,44.7,42.53011,44.45,NaN,NaN,NaN,NaN,293000,NaN,60.25518353727849,NaN,NaN,NaN
2006-02-17T14:30:00Z,44.25,45,43.85001,43.85001,NaN,NaN,NaN,NaN,138000,NaN,52.103361613570684,NaN,NaN,NaN
2006-02-21T14:30:00Z,44,44.06,42.81,43.10001,NaN,NaN,NaN,NaN,68100,NaN,42.51654853347199,NaN,NaN,NaN
2006-02-22T14:30:00Z,43,44.14999,42.85001,43.87,NaN,NaN,NaN,NaN,95900,NaN,54.08181805901274,NaN,NaN,NaN
2006-02-23T14:30:00Z,45.10001,45.99001,44.75,45.8,NaN,NaN,NaN,NaN,249300,1010009.9,72.54344389883207,NaN,NaN,NaN
2006-02-24T14:30:00Z,45.89999,46.75,45.8,46.67,50.61607345238096,44.637620952380956,38.65916845238095,NaN,138300,355955,77.88703203910278,NaN,NaN,NaN
2006-02-27T14:30:00Z,46.95,46.95,46.17999,46.53,50.58592076839827,44.80965541125541,39.03339005411256,NaN,100800,303455,74.76503162786784,NaN,NaN,NaN
2006-02-28T14:30:00Z,46.53,46.53,45.60001,45.60001,50.48235271616912,44.881505828414014,39.28065894065891,NaN,87500,271020,55.17619885314156,NaN,NaN,NaN
2006-03-01T14:30:00Z,45.64,46.2,44.60001,45.5,50.44329996438557,44.937732571285466,39.432165178185365,NaN,190100,224965,53.17841139629821,NaN,NaN,NaN
2006-03-02T14:30:00Z,45.5,46.31,45.07001,45.75,50.38782865347173,45.011575064804966,39.6353214761382,NaN,229000,206080,58.22035068833198,NaN,NaN,NaN
2006-03-03T14:30:00Z,45.75,46.28999,45.13,45.48,50.2986853056958,45.054159149822695,39.80963299394959,NaN,89100,190345,50.40439067877894,NaN,0.3782682969756195,NaN
2006-03-06T14:30:00Z,45.60001,46.10001,45.03,45.78999,50.23048360716385,45.12105286347518,40.01162211978651,NaN,168900,186525,58.859185192555515,NaN,0.3945977546839501,NaN
2006-03-07T14:30:00Z,44.5,45.25,44.25,45,50.141171504074876,45.11004805770471,40.07892461133454,NaN,328300,185440,37.27013805856692,NaN,0.3398755035473542,NaN
2006-03-08T14:30:00Z,44.85001,44.85001,42.2,42.5,49.96431710094989,44.87277096154973,39.781224822149575,NaN,306600,187410,14.629148004469116,NaN,0.09369852042269855,NaN
2006-03-09T14:30:00Z,42.75,42.89999,41.25,41.46001,49.588396169235835,44.56251996504521,39.53664376085459,NaN,161500,186765,10.942200385726736,NaN,-0.1832051389532836,NaN
