time,open,high,low,close,Upper,Basis,Lower,MA,Volume,Volume MA,RSI,Histogram,MACD,Signal
2018-04-27T13:30:00Z,38,40.89,37,39.73,NaN,NaN,NaN,NaN,16392446,NaN,NaN,NaN,NaN,NaN
2018-04-30T13:30:00Z,39.9047,40.19,37.53,38.63,NaN,NaN,NaN,NaN,3312463,NaN,NaN,NaN,NaN,NaN
2018-05-01T13:30:00Z,38.7,39.89,37.85,39.45,NaN,NaN,NaN,NaN,1285573,NaN,NaN,NaN,NaN,NaN
2018-05-02T13:30:00Z,39.85,40.5,38.75,39.32,NaN,NaN,NaN,NaN,1251440,NaN,NaN,NaN,NaN,NaN
2018-05-03T13:30:00Z,39.69,42.56,38.81,41.96,NaN,NaN,NaN,NaN,2783655,NaN,73.77398720682308,NaN,NaN,NaN
2018-05-04T13:30:00Z,42.4,42.66,41.01,41.09,NaN,NaN,NaN,NaN,763525,NaN,59.14529914529921,NaN,NaN,NaN
2018-05-07T13:30:00Z,41.65,41.912,41.04,41.31,NaN,NaN,NaN,NaN,630844,NaN,61.705536763396886,NaN,NaN,NaN
2018-05-08T13:30:00Z,41.5,43.6799,40.5,43.22,NaN,NaN,NaN,NaN,821183,NaN,77.8056749785039,NaN,NaN,NaN
2018-05-09T13:30:00Z,44.44,44.87,43.245,44.1,NaN,NaN,NaN,NaN,1178122,NaN,82.36130219675093,NaN,NaN,NaN
2018-05-10T13:30:00Z,44.88,46.699,43.66,44.01,NaN,NaN,NaN,NaN,1467879,NaN,80.11876800354526,NaN,NaN,NaN
2018-05-11T13:30:00Z,44.56,45.8895,44.01,44.37,NaN,NaN,NaN,NaN,762193,NaN,82.63975419668904,NaN,NaN,NaN
2018-05-14T13:30:00Z,44.99,45.7265,43.37,44.19,NaN,NaN,NaN,NaN,1032010,NaN,76.1983372780361,NaN,NaN,NaN
2018-05-15T13:30:00Z,44.39,45.73,43.495,45.46,NaN,NaN,NaN,NaN,423001,NaN,86.26774872511511,NaN,NaN,NaN
2018-05-16T13:30:00Z,45.34,45.65,44.56,45.23,NaN,NaN,NaN,NaN,299008,NaN,78.27188414764925,NaN,NaN,NaN
2018-05-17T13:30:00Z,45.2,46.4,44.55,44.9,NaN,NaN,NaN,NaN,339527,NaN,66.48346770475868,NaN,NaN,NaN
2018-05-18T13:30:00Z,44.75,45,44.36,44.78,NaN,NaN,NaN,NaN,350812,NaN,61.95907154254955,NaN,NaN,NaN
2018-05-21T13:30:00Z,45.5,45.5,41.72,42.98,NaN,NaN,NaN,NaN,804373,NaN,26.242068105619026,NaN,NaN,NaN
2018-05-22T13:30:00Z,43.24,44.72,42.851,43.05,NaN,NaN,NaN,NaN,1062700,NaN,28.382749476909808,NaN,NaN,NaN
2018-05-23T13:30:00Z,43.64,45.62,43.1,45.42,NaN,NaN,NaN,NaN,1125441,NaN,68.99933258072795,NaN,NaN,NaN
2018-05-24T13:30:00Z,45.94,47.7,45.2962,46.8,NaN,NaN,NaN,NaN,1011734,1854896.45,78.47634183119189,NaN,NaN,NaN
2018-05-25T13:30:00Z,47.23,48.9,46.1071,46.37,48.29771904761905,43.16047619047619,38.02323333333333,NaN,678083,1069178.3,69.63251106837576,NaN,NaN,NaN
2018-05-29T13:30:00Z,46.67,49.33,45.855,48.43,48.904457482993195,43.63952380952381,38.37459013605442,NaN,931091,950109.7,82.34289508335624,NaN,NaN,NaN
