time,open,high,low,close,Upper,Basis,Lower,MA,Volume,Volume MA,RSI,Histogram,MACD,Signal
2010-07-21T07:00:00Z,180,180,155,167,NaN,NaN,NaN,NaN,52348101,NaN,NaN,NaN,NaN,NaN
2010-07-22T07:00:00Z,165,166,158,159,NaN,NaN,NaN,NaN,16695799,NaN,NaN,NaN,NaN,NaN
2010-07-23T07:00:00Z,160,160,155,159,NaN,NaN,NaN,NaN,12336872,NaN,NaN,NaN,NaN,NaN
2010-07-26T07:00:00Z,159.25,164,159.25,164,NaN,NaN,NaN,NaN,2383035,NaN,NaN,NaN,NaN,NaN
2010-07-27T07:00:00Z,165,169,164,166,NaN,NaN,NaN,NaN,6778517,NaN,46.666666666666664,NaN,NaN,NaN
2010-07-28T07:00:00Z,167,167.25,165.25,166,NaN,NaN,NaN,NaN,3436405,NaN,46.666666666666664,NaN,NaN,NaN
2010-07-29T07:00:00Z,168.5,169,164,165,NaN,NaN,NaN,NaN,2527079,NaN,41.72185430463576,NaN,NaN,NaN
2010-07-30T07:00:00Z,165.25,167,161.5,167,NaN,NaN,NaN,NaN,5667942,NaN,54.561101549053355,NaN,NaN,NaN
2010-08-02T07:00:00Z,167,167.75,166.25,167,NaN,NaN,NaN,NaN,1044979,NaN,54.561101549053355,NaN,NaN,NaN
2010-08-03T07:00:00Z,167.25,167.25,164.25,165,NaN,NaN,NaN,NaN,3371641,NaN,39.20571664147314,NaN,NaN,NaN
2010-08-04T07:00:00Z,165.25,165.25,160,161.5,NaN,NaN,NaN,NaN,3161479,NaN,23.665219675394695,NaN,NaN,NaN
2010-08-05T07:00:00Z,162,163,148,155,NaN,NaN,NaN,NaN,5422817,NaN,11.942957343590834,NaN,NaN,NaN
2010-08-06T07:00:00Z,155,156,153.5,155,NaN,NaN,NaN,NaN,2503818,NaN,11.942957343590834,NaN,NaN,NaN
2010-08-09T07:00:00Z,156,158,156,158,NaN,NaN,NaN,NaN,792206,NaN,37.38969392648283,NaN,NaN,NaN
2010-08-10T07:00:00Z,157,157,154.5,155,NaN,NaN,NaN,NaN,1572018,NaN,26.990189075223455,NaN,NaN,NaN
2010-08-11T07:00:00Z,158.5,158.5,153.5,154.5,NaN,NaN,NaN,NaN,2662498,NaN,25.419074110039915,NaN,NaN,NaN
2010-08-12T07:00:00Z,154.5,154.5,140,148.25,NaN,NaN,NaN,NaN,4287501,NaN,12.90192682496189,NaN,NaN,NaN
2010-08-13T07:00:00Z,149,150,147.75,150,NaN,NaN,NaN,NaN,833900,NaN,26.427558887088765,NaN,NaN,NaN
2010-08-16T07:00:00Z,150,150,146,147.75,NaN,NaN,NaN,NaN,726303,NaN,20.87130752387951,NaN,NaN,NaN
2010-08-17T07:00:00Z,147,149,146,148,NaN,NaN,NaN,NaN,391657,6447228.35,23.261507972284377,NaN,NaN,NaN
2010-08-18T07:00:00Z,149,149,142,142.75,172.16666666666666,158.13095238095238,144.0952380952381,NaN,2606779,3960162.25,12.60252281145209,NaN,NaN,NaN
2010-08-19T07:00:00Z,143,143,137.25,137.25,170.21610235003092,156.232683982684,142.24926561533707,NaN,2788658,3264805.2,7.684187951226377,NaN,NaN,NaN
2010-08-20T07:00:00Z,137,138.75,133.25,134,168.11835790986999,154.21153089334908,140.30470387682817,NaN,1661695,2731046.35,5.877087906849468,NaN,NaN,NaN
2010-08-23T07:00:00Z,132.25,136.75,132.25,134.5,166.14631355514243,152.41957353940825,138.69283352367407,NaN,1110320,2667410.6,10.208645759715353,NaN,NaN,NaN
2010-08-24T07:00:00Z,132,135.5,132,135,164.28406167418723,150.83597594491658,137.38789021564594,NaN,691382,2363053.85,15.399743208906926,NaN,NaN,NaN
