time,open,high,low,close,Upper,Basis,Lower,MA,Volume,Volume MA,RSI,Histogram,MACD,Signal
2015-07-06T13:30:00Z,38,39.75,36,36.71,NaN,NaN,NaN,NaN,5866647,NaN,NaN,NaN,NaN,NaN
2015-07-07T13:30:00Z,37.72,37.81,36,36.62,NaN,NaN,NaN,NaN,7358964,NaN,NaN,NaN,NaN,NaN
2015-07-08T13:30:00Z,36.34,36.36,34.53,34.7,NaN,NaN,NaN,NaN,5387749,NaN,NaN,NaN,NaN,NaN
2015-07-09T13:30:00Z,35.1,35.5199,33.99,34.5,NaN,NaN,NaN,NaN,3760051,NaN,NaN,NaN,NaN,NaN
2015-07-10T13:30:00Z,34.66,35.19,33.9805,34.69,NaN,NaN,NaN,NaN,4472801,NaN,7.916666666666586,NaN,NaN,NaN
2015-07-13T13:30:00Z,35.59,37.5,35.5,36.78,NaN,NaN,NaN,NaN,7625994,NaN,57.39074550128536,NaN,NaN,NaN
2015-07-14T13:30:00Z,36.99,37.74,36.6,36.93,NaN,NaN,NaN,NaN,4653323,NaN,59.47432762836185,NaN,NaN,NaN
2015-07-15T13:30:00Z,37.98,38.2,37.03,37.51,NaN,NaN,NaN,NaN,13072783,NaN,67.63397700151873,NaN,NaN,NaN
2015-07-16T13:30:00Z,38.82,39.97,38.08,38.63,NaN,NaN,NaN,NaN,21348480,NaN,78.68421052631581,NaN,NaN,NaN
2015-07-17T13:30:00Z,39.42,40.2,38.18,38.39,NaN,NaN,NaN,NaN,45720240,NaN,71.69096905784833,NaN,NaN,NaN
2015-07-20T13:30:00Z,41.46,42.55,39.8,40.47,NaN,NaN,NaN,NaN,52286509,NaN,86.03420960609351,NaN,NaN,NaN
2015-07-21T13:30:00Z,41.08,41.11,39.12,39.35,NaN,NaN,NaN,NaN,32954573,NaN,63.086004387492466,NaN,NaN,NaN
2015-07-22T13:30:00Z,39.35,39.7178,38.1,38.39,NaN,NaN,NaN,NaN,25380859,NaN,48.34775732930157,NaN,NaN,NaN
2015-07-23T13:30:00Z,38.74,38.75,36.93,37.01,NaN,NaN,NaN,NaN,19250154,NaN,33.39453475141083,NaN,NaN,NaN
2015-07-24T13:30:00Z,37.71,38,36.91,37,NaN,NaN,NaN,NaN,14274305,NaN,33.2950405746533,NaN,NaN,NaN
2015-07-27T13:30:00Z,36.78,37.38,36.22,36.39,NaN,NaN,NaN,NaN,16179913,NaN,26.800676954597037,NaN,NaN,NaN
2015-07-28T13:30:00Z,37.19,38,36.8296,37.6,NaN,NaN,NaN,NaN,18986016,NaN,51.71176346914513,NaN,NaN,NaN
2015-07-29T13:30:00Z,38.03,38.1,37.62,37.95,NaN,NaN,NaN,NaN,11788439,NaN,57.31435390223123,NaN,NaN,NaN
2015-07-30T13:30:00Z,38.04,39.01,37.715,38.45,NaN,NaN,NaN,NaN,13845091,NaN,65.04036191953082,NaN,NaN,NaN
2015-07-31T13:30:00Z,39.14,39.2,38.2199,38.7,NaN,NaN,NaN,NaN,12480580,16834673.55,68.8045652803113,NaN,NaN,NaN
2015-08-03T13:30:00Z,39.25,39.88,38.9,39.39,41.45322261904762,37.43619047619048,33.41915833333334,NaN,15126574,17297669.9,77.65747771556774,NaN,NaN,NaN
2015-08-04T13:30:00Z,39.91,39.91,38.43,38.95,41.55812585034014,37.57380952380953,33.58949319727892,NaN,10992217,17479332.55,62.56196607686975,NaN,NaN,NaN
2015-08-05T13:30:00Z,39.7,39.88,39.17,39.27,41.622238492799724,37.72800865800866,33.8337788232176,NaN,9463128,17683101.5,68.49963733398107,NaN,NaN,NaN
2015-08-06T13:30:00Z,39.63,39.74,38.55,38.85,41.66629818976559,37.830007870916965,33.99371755206834,NaN,7324116,17861304.75,53.6179716234604,NaN,NaN,NaN
2015-08-07T13:30:00Z,39.04,39.23,38.6,39.13,41.66929880103576,37.948188973560875,34.22707914608599,NaN,8331310,18054230.2,61.12518971479903,NaN,NaN,NaN
2015-08-10T13:30:00Z,39.43,39.69,38.7701,39.05,41.69082844801843,38.048353612328064,34.4058787766377,NaN,7998929,18072876.95,57.57513572359492,NaN,0.81616564878491,NaN
2015-08-11T13:30:00Z,38.93,39.28,38.72,38.85,41.65025420970032,38.12123055666188,34.592206903623435,NaN,8184004,18249411,48.23675515520923,NaN,0.7786271246895708,NaN
2015-08-12T13:30:00Z,38.55,38.58,37.01,38.19,41.68560008903659,38.12748232423807,34.569364559439556,NaN,21366670,18664105.35,28.14843749618386,NaN,0.6876937838776769,NaN
2015-08-13T13:30:00Z,38.4,38.49,37.44,37.62,41.58253115301156,38.08134756748916,34.58016398196676,NaN,7863525,17989857.6,19.0249815005877,NaN,0.5631426617728863,NaN
2015-08-14T13:30:00Z,37.49,38.18,37.38,38.14,41.50685445016299,38.086679606808325,34.66650476345366,NaN,6271143,16017402.75,41.92219025206236,NaN,0.5006237750893874,NaN
2015-08-17T13:30:00Z,38.3,38.75,37.7,38.73,41.51497265354015,38.145163278916655,34.77535390429316,NaN,4931711,13649662.85,59.32295367095108,NaN,0.4930021541824914,NaN
