time,open,high,low,close,Upper,Basis,Lower,MA,Volume,Volume MA,RSI,Histogram,MACD,Signal
2015-11-19T14:30:00Z,11.2,14.78,9,13.07,NaN,NaN,NaN,NaN,47466050,NaN,NaN,NaN,NaN,NaN
2015-11-20T14:30:00Z,13.92,14.05,12.5,12.85,NaN,NaN,NaN,NaN,16550328,NaN,NaN,NaN,NaN,NaN
2015-11-23T14:30:00Z,13,13.15,12.1,12.12,NaN,NaN,NaN,NaN,5172246,NaN,NaN,NaN,NaN,NaN
2015-11-24T14:30:00Z,12,12.23,11.52,12.02,NaN,NaN,NaN,NaN,4714682,NaN,NaN,NaN,NaN,NaN
2015-11-25T14:30:00Z,12.12,12.4,11.85,11.9,NaN,NaN,NaN,NaN,3583421,NaN,0,NaN,NaN,NaN
2015-11-27T14:30:00Z,12.05,12.31,11.9,12.05,NaN,NaN,NaN,NaN,942319,NaN,14.598540145985439,NaN,NaN,NaN
2015-11-30T14:30:00Z,12.28,12.35,11.9,12.04,NaN,NaN,NaN,NaN,1997100,NaN,14.411529223378693,NaN,NaN,NaN
2015-12-01T14:30:00Z,12.12,12.18,11.89,11.91,NaN,NaN,NaN,NaN,1256106,NaN,11.792967896920757,NaN,NaN,NaN
2015-12-02T14:30:00Z,11.97,12.155,11.9,11.93,NaN,NaN,NaN,NaN,1708251,NaN,14.962453505509117,NaN,NaN,NaN
2015-12-03T14:30:00Z,12.04,12.25,11.91,11.92,NaN,NaN,NaN,NaN,1431370,NaN,14.612414612414568,NaN,NaN,NaN
2015-12-04T14:30:00Z,11.95,12.04,11.8,12.04,NaN,NaN,NaN,NaN,1331595,NaN,37.8688388330146,NaN,NaN,NaN
2015-12-07T14:30:00Z,12.14,12.6,12.1,12.36,NaN,NaN,NaN,NaN,2660354,NaN,68.43573557990509,NaN,NaN,NaN
2015-12-08T14:30:00Z,12.36,12.44,12.03,12.12,NaN,NaN,NaN,NaN,1047684,NaN,45.8692642821787,NaN,NaN,NaN
2015-12-09T14:30:00Z,12,12.24,11.9,11.99,NaN,NaN,NaN,NaN,1075773,NaN,37.04659730930995,NaN,NaN,NaN
2015-12-10T14:30:00Z,12,12.13,11.91,12.05,NaN,NaN,NaN,NaN,711304,NaN,43.709450372936665,NaN,NaN,NaN
2015-12-11T14:30:00Z,12,12.02,11.9,11.95,NaN,NaN,NaN,NaN,882507,NaN,35.386673495799045,NaN,NaN,NaN
2015-12-14T14:30:00Z,12.2,12.4,11.87,12.33,NaN,NaN,NaN,NaN,2163733,NaN,67.11373281494299,NaN,NaN,NaN
2015-12-15T14:30:00Z,12.5,12.7,12.305,12.47,NaN,NaN,NaN,NaN,1257986,NaN,73.50461878001336,NaN,NaN,NaN
2015-12-16T14:30:00Z,12.55,12.8,12.13,12.27,NaN,NaN,NaN,NaN,1592885,NaN,53.64681793264636,NaN,NaN,NaN
2015-12-17T14:30:00Z,12.3,12.5,12.26,12.32,NaN,NaN,NaN,NaN,618856,4908227.5,57.47618895294767,NaN,NaN,NaN
2015-12-18T14:30:00Z,12.4,12.58,12.1,12.34,13.866428571428575,12.192857142857147,10.519285714285719,NaN,1608918,2615370.9,59.270729409735694,NaN,NaN,NaN
2015-12-21T14:30:00Z,12.37,12.48,12.02,12.24,13.840306122448984,12.197142857142861,10.553979591836738,NaN,704399,1823074.45,46.256871243160504,NaN,NaN,NaN
2015-12-22T14:30:00Z,12.32,12.46,12.12,12.46,13.822384927997176,12.221038961038964,10.619692994080753,NaN,502437,1589584,67.31075158231636,NaN,NaN,NaN
2015-12-23T14:30:00Z,12.41,12.66,12.31,12.5,13.808990452593026,12.246399055489967,10.683807658386907,NaN,512322,1379466,70.14598010446358,NaN,NaN,NaN
2015-12-24T14:30:00Z,12.59,12.6,12.45,12.6,13.782798307426692,12.27854459589997,10.774290884373247,NaN,318490,1216219.45,76.84135649306792,NaN,NaN,NaN
2015-12-28T14:30:00Z,12.6,12.84,12.49,12.83,13.798799487770012,12.328676905363608,10.858554322957204,NaN,1622706,1250238.8,86.27849719124816,NaN,0.16913687455699922,NaN
2015-12-29T14:30:00Z,12.83,12.83,12.5,12.74,13.801543801973015,12.366069913966916,10.930596025960817,NaN,852340,1193000.8,71.1511536816065,NaN,0.18165186777658882,NaN
2015-12-30T14:30:00Z,12.66,12.83,12.53,12.78,13.802960767508198,12.403699921788105,11.004439076068012,NaN,939321,1177161.55,73.86643580298366,NaN,0.19257783833009512,NaN
2015-12-31T14:30:00Z,12.7,13.5,12.65,13.09,13.889791643436896,12.466090837989187,11.042390032541478,NaN,2462306,1214864.3,86.7516063744124,NaN,0.22367279715885147,NaN
2016-01-04T14:30:00Z,12.75,12.9,12.05,12.16,13.905598498598376,12.438264398171988,10.9709302977456,NaN,2751500,1280870.8,29.18764940814758,NaN,0.17129793245592495,NaN
